solar_field_id,device_id,device_name,modules,capacity_kwp,month,energy_kwh
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-06,70111.2
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-07,82850.7
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-08,89843.4
SF-001,SF-001-INV-02,Inverter 02,986,542.3,2026-06,68117.9
SF-001,SF-001-INV-02,Inverter 02,986,542.3,2026-07,80487.1
SF-001,SF-001-INV-02,Inverter 02,986,542.3,2026-08,87252.3
SF-001,SF-001-INV-03,Inverter 03,1034,568.7,2026-06,69918.3
SF-001,SF-001-INV-03,Inverter 03,1034,568.7,2026-07,82431.3
SF-001,SF-001-INV-03,Inverter 03,1034,568.7,2026-08,89376.6
SF-001,SF-001-INV-04,Inverter 04,998,548.9,2026-06,68727
SF-001,SF-001-INV-04,Inverter 04,998,548.9,2026-07,81122.1
SF-001,SF-001-INV-04,Inverter 04,998,548.9,2026-08,87971.3
SF-001,SF-001-INV-05,Inverter 05,702,386.1,2026-06,47133.5
SF-001,SF-001-INV-05,Inverter 05,702,386.1,2026-07,55702.3
SF-001,SF-001-INV-05,Inverter 05,702,386.1,2026-08,60456.8
SF-001,SF-001-INV-06,Inverter 06,1008,554.4,2026-06,67803.1
SF-001,SF-001-INV-06,Inverter 06,1008,554.4,2026-07,80040.6
SF-001,SF-001-INV-06,Inverter 06,1008,554.4,2026-08,86819.9
SF-001,SF-001-INV-07,Inverter 07,976,536.8,2026-06,67056.7
SF-001,SF-001-INV-07,Inverter 07,976,536.8,2026-07,79193.8
SF-001,SF-001-INV-07,Inverter 07,976,536.8,2026-08,85988.1
SF-001,SF-001-INV-08,Inverter 08,1020,561,2026-06,70972.3
SF-001,SF-001-INV-08,Inverter 08,1020,561,2026-07,83786
SF-001,SF-001-INV-08,Inverter 08,1020,561,2026-08,90939.4
