solar_field_id,period,energy_kwh,irradiation_kwh_m2
SF-001,2026-07-01,18555.7,5.35
SF-001,2026-07-02,20332,5.87
SF-001,2026-07-03,19161.2,5.53
SF-001,2026-07-04,19611,5.64
SF-001,2026-07-05,19469.3,5.46
SF-001,2026-07-06,21121.8,6.02
SF-001,2026-07-07,19569.9,5.61
SF-001,2026-07-08,20604.1,5.95
SF-001,2026-07-09,18731.5,5.27
SF-001,2026-07-10,20681.5,5.9
SF-001,2026-07-11,19759.4,5.66
SF-001,2026-07-12,19583.1,5.62
SF-001,2026-07-13,19349.8,5.53
SF-001,2026-07-14,20390.1,5.85
SF-001,2026-07-15,21366.8,6.17
SF-001,2026-07-16,19940.3,5.62
SF-001,2026-07-17,21102.4,6.07
SF-001,2026-07-18,20055,5.71
SF-001,2026-07-19,20814.9,5.95
SF-001,2026-07-20,21212.9,6.11
SF-001,2026-07-21,21557.4,6.14
SF-001,2026-07-22,19191.4,5.46
SF-001,2026-07-23,20492.5,5.72
SF-001,2026-07-24,19922.3,5.74
SF-001,2026-07-25,22888.1,6.39
SF-001,2026-07-26,21092.6,6.04
SF-001,2026-07-27,21560.3,6.09
SF-001,2026-07-28,21521.3,6.2
SF-001,2026-07-29,14465.4,4.14
SF-001,2026-07-30,21992.9,6.32
SF-001,2026-07-31,19517,5.58
