solar_field_id,device_id,device_name,modules,capacity_kwp,month,energy_kwh
SF-002,SF-002-INV-01,Inverter 01,1044,579.42,2026-06,74269.7
SF-002,SF-002-INV-01,Inverter 01,1044,579.42,2026-07,84440.4
SF-002,SF-002-INV-01,Inverter 01,1044,579.42,2026-08,92972.5
SF-002,SF-002-INV-02,Inverter 02,986,547.23,2026-06,68819.4
SF-002,SF-002-INV-02,Inverter 02,986,547.23,2026-07,78328.2
SF-002,SF-002-INV-02,Inverter 02,986,547.23,2026-08,86258.4
SF-002,SF-002-INV-03,Inverter 03,1012,561.66,2026-06,71876.8
SF-002,SF-002-INV-03,Inverter 03,1012,561.66,2026-07,81980.5
SF-002,SF-002-INV-03,Inverter 03,1012,561.66,2026-08,90084.9
SF-002,SF-002-INV-04,Inverter 04,968,537.24,2026-06,67114.5
SF-002,SF-002-INV-04,Inverter 04,968,537.24,2026-07,76524
SF-002,SF-002-INV-04,Inverter 04,968,537.24,2026-08,84086.4
SF-002,SF-002-INV-05,Inverter 05,1030,571.65,2026-06,71611.1
SF-002,SF-002-INV-05,Inverter 05,1030,571.65,2026-07,81665
SF-002,SF-002-INV-05,Inverter 05,1030,571.65,2026-08,89733.6
