solar_field_id,period,energy_kwh,irradiation_kwh_m2
SF-002,2026-07-01,13164.4,5.66
SF-002,2026-07-02,11735.9,5.07
SF-002,2026-07-03,13325.3,5.84
SF-002,2026-07-04,12426.2,5.36
SF-002,2026-07-05,13031.3,5.53
SF-002,2026-07-06,12844.9,5.66
SF-002,2026-07-07,13654,5.89
SF-002,2026-07-08,12479.4,5.44
SF-002,2026-07-09,12366.1,5.42
SF-002,2026-07-10,12242.5,5.27
SF-002,2026-07-11,12855.1,5.58
SF-002,2026-07-12,12587.4,5.41
SF-002,2026-07-13,12681.4,5.45
SF-002,2026-07-14,13190.2,5.72
SF-002,2026-07-15,13312.9,5.71
SF-002,2026-07-16,12043.2,5.33
SF-002,2026-07-17,13176.5,5.63
SF-002,2026-07-18,12650.6,5.36
SF-002,2026-07-19,13424.9,5.8
SF-002,2026-07-20,12244.7,5.42
SF-002,2026-07-21,12859.8,5.63
SF-002,2026-07-22,13535.6,5.84
SF-002,2026-07-23,13031.5,5.68
SF-002,2026-07-24,13330.8,5.87
SF-002,2026-07-25,12900.5,5.69
SF-002,2026-07-26,13681.2,5.94
SF-002,2026-07-27,13952.9,6.13
SF-002,2026-07-28,14658.3,6.31
SF-002,2026-07-29,13466.8,5.9
SF-002,2026-07-30,13141.6,5.66
SF-002,2026-07-31,12942.2,5.63
