solar_field_id,period,energy_kwh,irradiation_kwh_m2
SF-003,2026-07-01,6364.6,5.07
SF-003,2026-07-02,6774.2,5.57
SF-003,2026-07-03,6975.9,5.56
SF-003,2026-07-04,6675.5,5.51
SF-003,2026-07-05,6591.9,5.34
SF-003,2026-07-06,7368.6,6.06
SF-003,2026-07-07,6305.9,5.15
SF-003,2026-07-08,6991.8,5.8
SF-003,2026-07-09,6828.3,5.62
SF-003,2026-07-10,4723.2,5.85
SF-003,2026-07-11,4706.6,5.74
SF-003,2026-07-12,4689.6,5.74
SF-003,2026-07-13,4993.5,6.05
SF-003,2026-07-14,4624.5,5.71
SF-003,2026-07-15,4594.1,5.54
SF-003,2026-07-16,4691.4,5.77
SF-003,2026-07-17,4754.9,5.75
SF-003,2026-07-18,4880,6.01
SF-003,2026-07-19,4872.5,6
SF-003,2026-07-20,4931.5,6.03
SF-003,2026-07-21,4593.1,5.59
SF-003,2026-07-22,4799.3,5.96
SF-003,2026-07-23,4590.4,5.69
SF-003,2026-07-24,4379.3,5.38
SF-003,2026-07-25,7600.2,6.18
SF-003,2026-07-26,7445.7,6.14
SF-003,2026-07-27,7584.4,6.13
SF-003,2026-07-28,6941.7,5.51
SF-003,2026-07-29,6724.9,5.37
SF-003,2026-07-30,6863,5.55
SF-003,2026-07-31,7872.5,6.4
