solar_field_id,device_id,device_name,modules,capacity_kwp,month,energy_kwh
SF-004,SF-004-INV-01,Inverter 01,1024,599.04,2026-06,76196.5
SF-004,SF-004-INV-01,Inverter 01,1024,599.04,2026-07,85526.1
SF-004,SF-004-INV-01,Inverter 01,1024,599.04,2026-08,91492.3
SF-004,SF-004-INV-02,Inverter 02,998,583.83,2026-06,76563.7
SF-004,SF-004-INV-02,Inverter 02,998,583.83,2026-07,85930.2
SF-004,SF-004-INV-02,Inverter 02,998,583.83,2026-08,91856.6
SF-004,SF-004-INV-03,Inverter 03,1042,609.57,2026-06,80154.9
SF-004,SF-004-INV-03,Inverter 03,1042,609.57,2026-07,90138
SF-004,SF-004-INV-03,Inverter 03,1042,609.57,2026-08,96345.1
SF-004,SF-004-INV-04,Inverter 04,1010,590.85,2026-06,76315.5
SF-004,SF-004-INV-04,Inverter 04,1010,590.85,2026-07,85732
SF-004,SF-004-INV-04,Inverter 04,1010,590.85,2026-08,91745.3
SF-004,SF-004-INV-05,Inverter 05,986,576.81,2026-06,74767.6
SF-004,SF-004-INV-05,Inverter 05,986,576.81,2026-07,84043.8
SF-004,SF-004-INV-05,Inverter 05,986,576.81,2026-08,89887.5
SF-004,SF-004-INV-06,Inverter 06,1030,602.55,2026-06,77886.4
SF-004,SF-004-INV-06,Inverter 06,1030,602.55,2026-07,87670.2
SF-004,SF-004-INV-06,Inverter 06,1030,602.55,2026-08,93622.2
SF-004,SF-004-INV-07,Inverter 07,1006,588.51,2026-06,76770.8
SF-004,SF-004-INV-07,Inverter 07,1006,588.51,2026-07,86330.9
SF-004,SF-004-INV-07,Inverter 07,1006,588.51,2026-08,92194.3
SF-004,SF-004-INV-08,Inverter 08,968,566.28,2026-06,74100.7
SF-004,SF-004-INV-08,Inverter 08,968,566.28,2026-07,83323.5
SF-004,SF-004-INV-08,Inverter 08,968,566.28,2026-08,89119.7
SF-004,SF-004-INV-09,Inverter 09,1050,614.25,2026-06,79926.3
SF-004,SF-004-INV-09,Inverter 09,1050,614.25,2026-07,89780.4
SF-004,SF-004-INV-09,Inverter 09,1050,614.25,2026-08,96004.5
SF-004,SF-004-INV-10,Inverter 10,1012,592.02,2026-06,76392.3
SF-004,SF-004-INV-10,Inverter 10,1012,592.02,2026-07,85765.5
SF-004,SF-004-INV-10,Inverter 10,1012,592.02,2026-08,91783.7
