solar_field_id,period,energy_kwh,irradiation_kwh_m2
SF-004,2026-07-01,28643.2,5.8
SF-004,2026-07-02,27372,5.6
SF-004,2026-07-03,25327.1,5.26
SF-004,2026-07-04,27226.8,5.55
SF-004,2026-07-05,27946.6,5.73
SF-004,2026-07-06,26103.4,5.31
SF-004,2026-07-07,28523.4,5.9
SF-004,2026-07-08,27350.6,5.62
SF-004,2026-07-09,26381,5.49
SF-004,2026-07-10,29679.6,6.16
SF-004,2026-07-11,19403.7,3.96
SF-004,2026-07-12,28432.3,5.94
SF-004,2026-07-13,24619.4,5.05
SF-004,2026-07-14,25141.1,5.13
SF-004,2026-07-15,29400.7,5.9
SF-004,2026-07-16,27988.1,5.77
SF-004,2026-07-17,27519.3,5.71
SF-004,2026-07-18,28392.2,5.81
SF-004,2026-07-19,27661.3,5.63
SF-004,2026-07-20,29226.3,6.04
SF-004,2026-07-21,26511.6,5.34
SF-004,2026-07-22,31355.1,6.38
SF-004,2026-07-23,27565.2,5.59
SF-004,2026-07-24,29838.5,6.15
SF-004,2026-07-25,30464.2,6.27
SF-004,2026-07-26,30930.7,6.56
SF-004,2026-07-27,28250.2,5.78
SF-004,2026-07-28,31115.1,6.34
SF-004,2026-07-29,27881.3,5.68
SF-004,2026-07-30,29030.1,5.86
SF-004,2026-07-31,28960.5,5.92
