solar_field_id,period,energy_kwh,irradiation_kwh_m2
SF-005,2026-07-01,4100,5.31
SF-005,2026-07-02,4276.2,5.41
SF-005,2026-07-03,4194.8,5.39
SF-005,2026-07-04,4211.7,5.31
SF-005,2026-07-05,4161.8,5.3
SF-005,2026-07-06,4129.9,5.35
SF-005,2026-07-07,4451.5,5.76
SF-005,2026-07-08,4258.5,5.41
SF-005,2026-07-09,4053.6,5.28
SF-005,2026-07-10,4500.1,5.76
SF-005,2026-07-11,4400.9,5.62
SF-005,2026-07-12,4715,6.18
SF-005,2026-07-13,4851,6.23
SF-005,2026-07-14,4372,5.64
SF-005,2026-07-15,3227.4,4.15
SF-005,2026-07-16,4358.6,5.71
SF-005,2026-07-17,4713.1,6.07
SF-005,2026-07-18,4322.3,5.48
SF-005,2026-07-19,4194.1,5.35
SF-005,2026-07-20,3159.3,4.06
SF-005,2026-07-21,4751.2,6.14
SF-005,2026-07-22,4400.5,5.52
SF-005,2026-07-23,4541.8,5.74
SF-005,2026-07-24,4281.2,5.53
SF-005,2026-07-25,4645.3,5.99
SF-005,2026-07-26,4657.5,5.93
SF-005,2026-07-27,4595.8,5.87
SF-005,2026-07-28,4966.3,6.18
SF-005,2026-07-29,4426,5.68
SF-005,2026-07-30,4263.6,5.37
SF-005,2026-07-31,4545,5.86
